"Domain name","CNAME name","Type","CNAME value"
"brimax.life","_a61de9be0571f80cda65f15e1125a8e5.brimax.life.","CNAME","_2960abf43558005103af99a89ff3d7b2.jkddzztszm.acm-validations.aws."
"www.brimax.life","_6d9cf9aeb09b3db46249ccac4120a121.www.brimax.life.","CNAME","_870451de69158a6b16c385a465273b9e.jkddzztszm.acm-validations.aws."
